colour,recall,,,,,,,,,,,,,
blue,1,,,,,,,,,,,,,
blue,0,,,,,,,,,,,,,
blue,1,,,,,,,,,,,,,
blue,1,,,,,,,,,,,,,
2blue,0,,ANOVA - recall,,,,,,,,,,,
2blue,1,,Cases,,Sum of Squares,,df,,Mean Square,,F,,p,
2blue,0,,colour,,1,,4,,0.25,,0.938,,0.469,
2blue,0,,Residuals,,4,,15,,0.267,,,,,
3blue,1,,,,,,,,,,,,,
3blue,1,,Note.  Type III Sum of Squares,,,,,,,,,,,
3blue,1,,,,,,,,,,,,,
3blue,0,,,,,,,,,,,,,
4blue,1,,,,,,,,,,,,,
4blue,0,,,,,,,,,,,,,
4blue,0,,,,,,,,,,,,,
4blue,0,,,,,,,,,,,,,
5blue,1,,,,,,,,,,,,,
5blue,0,,,,,,,,,,,,,
5blue,0,,,,,,,,,,,,,
5blue,1,,,,,,,,,,,,,
